nome	data	materiale	locus	description	url	gulpease	flesch_reading_ease	description_lemmatized	count_FO_description
lattiera	post 1975-ante 1999	gres/ pittura	Laveno-Mombello (VA)	"Lattiera con corpo globulare; piede circolare; manico a ""C"" schiacciato; ; beccuccio sporgente; fondo bianco decorato con grappolo d'uva; bordo rifinito in verde."	https://w3id.org/arco/resource/Lombardia/HistoricOrArtisticProperty/0302126313	39.0	43.86	"lattiera con corpo globulare ; piede circolare ; manico a "" c "" schiacciato ; ; beccuccio sporgente ; fondo bianco decorare con grappolo di uva ; bordo rifinire in verde ."	10
Kappa su granchio, CREATURA FANTASTICA e ANIMALE (scultura)	ca. 1840-ca. 1860	avorio dipinto avorio tinto	Milano (MI)	Questo netsuke raffigura un granchio (kani) sul quale sta posato un kappa, la cui zampa anteriore sinistra è trattenuta dalla chela destra del mollusco. I due fori dell'himotoshi sono ubicati sul lato inferiore della composizione.	https://w3id.org/arco/resource/Lombardia/HistoricOrArtisticProperty/0302021552	50.1	60.51	questo netsuke raffigurare uno granchio ( kani ) su il quale stare posare uno kappa , il cui zampa anteriore sinistra essere trattenere da il chela destro di il mollusco . il due foro di il Himotoshi essere ubicare su il lato inferiore di il composizione .	17
statua (elemento d'insieme)	ca 1500-ca 1510	marmo bianco/ scultura	Saluzzo (CN)	L'apostolo è rappresentato con una tunica legata a vita ed un mantello chiuso con una fibia sulla spalla destra; il volto è incorniciato da una folta barba a torciglioni e lunghi capelli; in mano tiene un libro	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-4	50.1	52.14	il apostolo essere rappresentare con uno tunica legare a vita e uno mantello chiuso con uno fibia su il spalla destra ; il volto essere incorniciare da uno folto barba a torciglione e lungo capello ; in mano tenere uno libro	22
statua (elemento d'insieme)	ca 1500-ca 1510	marmo bianco/ scultura	Saluzzo (CN)	Il profeta è rappresentato con ampia tunica, capelli lunghi e copricapo; con la mano destra poggiata sul petto tiene un cartiglio, mentre con la sinistra regge un lembo della tunica	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-8	48.3	56.02	il profeta essere rappresentare con ampio tunico , capello lungo e copricapo ; con il mano destro poggiare su il petto tenere uno cartiglio , mentre con il sinistra reggere uno lembo di il tunico	19
dipinto (elemento d'insieme)	post 1628-ca 1699	tela/ pittura a olio	Torino (TO)	L'arcangelo è raffigurato con i gigli nella destra, la sinistra levata e l'abito ancora gonfiato dal vento	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000231A-2	53.7	60.8	il arcangelo essere raffigurare con il giglio in il destra , il sinistra levato e il abito ancora gonfiare da il vento	12
statua (elemento d'insieme)	1660-1660	legno/ intaglio/ doratura/ pittura	Saluzzo (CN)	David è raffigurato seduto sul frontone con l'arpa in mano e la corona sul capo	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000235-3	65.7	81.52	David essere raffigurare sedere su il frontone con il arpa in mano e il corona su il capo	10
scomparto di polittico (elemento d'insieme)	1494-ca 1500	oro tavola/ pittura a tempera	Saluzzo (CN)	San Giorgio, riccamente abbigliato, trafigge il drago con la lancia	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000281A-4	61.0	78.0	San Giorgio , riccamente abbigliare , trafiggere il drago con il lancia	2
statua (elemento d'insieme)	1700-1799	stucco legno/ intaglio/ pittura	Saluzzo (CN)	San Francesco d'Assisi è raffigurato con la destra al petto e lo sguardo volto verso l'alto	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000340A-1	60.3	83.7	San Francesco di assisi essere raffigurare con il destra a il petto e il sguardo volgere verso il alto	13
dipinto (elemento d'insieme)	1599-1622	tela/ pittura a olio	Saluzzo (CN)	Il santo è caratterizzato da un libro aperto	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000406A-1	80.3	86.6	il santo essere caratterizzare da uno libro aperto	9
dipinto (elemento d'insieme)	1599-1622	tela/ pittura a olio	Saluzzo (CN)	Il santo è dipinto mente scrive, con l'abito vescovile. La schedatrice identifica il santo con Sant'Agostino, ma sembra più probabile che sia San Giacomo apostolo, visto il tema della serie	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000406A-12	55.7	71.5	il santo essere dipingere menta scrivere , con il abito vescovile . il schedatore identificare il santo con Sant' Agostino , ma sembrare più probabile che essere San Giacomo Apostolo , vedere il tema di il serie	16
